year,regtyp,rentown,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1998,Rural regions,Owner,5 rooms,0.22404,284,1182,0.20026,0.24782
1998,Rural regions,Owner,6 rooms,0.13678,177,1182,0.11718,0.15638
1998,Rural regions,Owner,7 rooms,0.07294,93,1182,0.05811,0.08777
1998,Rural regions,Owner,8 rooms,0.02973,41,1182,0.02005,0.03942
1998,Rural regions,Tenant,1 room,0.04524,56,1242,0.03367,0.05680
1998,Rural regions,Tenant,2 rooms,0.33512,345,1242,0.30886,0.36139
1998,Rural regions,Tenant,3 rooms,0.38736,539,1242,0.36026,0.41447
1998,Rural regions,Tenant,4 rooms,0.16301,240,1242,0.14246,0.18356
1998,Rural regions,Tenant,5 rooms,0.04277,62,1242,0.03151,0.05403
1999,Urban regions,Owner,2 rooms,0.07467,86,1612,0.06183,0.08750
1999,Urban regions,Owner,3 rooms,0.19780,308,1612,0.17835,0.21726
1999,Urban regions,Owner,4 rooms,0.27643,469,1612,0.25459,0.29827
1999,Urban regions,Owner,5 rooms,0.18367,335,1612,0.16476,0.20258
1999,Urban regions,Owner,6 rooms,0.14522,265,1612,0.12801,0.16242
1999,Urban regions,Owner,7 rooms,0.06157,97,1612,0.04983,0.07330
1999,Urban regions,Owner,8 rooms,0.02824,52,1612,0.02015,0.03633
1999,Urban regions,Tenant,1 room,0.07858,179,3025,0.06899,0.08817
1999,Urban regions,Tenant,2 rooms,0.33305,865,3025,0.31625,0.34984
1999,Urban regions,Tenant,3 rooms,0.38896,1274,3025,0.37159,0.40634
1999,Urban regions,Tenant,4 rooms,0.14258,528,3025,0.13011,0.15504
1999,Urban regions,Tenant,5 rooms,0.03686,128,3025,0.03014,0.04358
1999,Urban regions,Tenant,6 rooms,0.01460,51,3025,0.01032,0.01887
1999,Rural regions,Owner,2 rooms,0.04501,50,1157,0.03306,0.05696
1999,Rural regions,Owner,3 rooms,0.17708,198,1157,0.15508,0.19909
1999,Rural regions,Owner,4 rooms,0.27354,322,1157,0.24784,0.29924
