year,age_gr,pgisced97,pli0080,proportion,n,lower_confidence,upper_confidence
2003,18-29 J.,vocational + Abi,Taeglich,0.0007445669877611801,27727,0.000423500647522014,0.0010656333280003464
2003,30-45 J.,general elemantary,Nie,0.0007445669877611801,27727,0.000423500647522014,0.0010656333280003464
2003,18-29 J.,higher education,Seltener,0.0007445669877611801,27727,0.000423500647522014,0.0010656333280003464
2003,46-65 J.,inadequately,Seltener,0.0007445669877611801,27727,0.000423500647522014,0.0010656333280003464
2003,66 und älter,higher vocational,Nie,0.0006980315510261064,27727,0.00038715316526490414,0.0010089099367873086
2003,46-65 J.,higher vocational,Taeglich,0.0006514961142910326,27727,0.0003511520673122401,0.000951840161269825
2003,30-45 J.,inadequately,Min 1x pro Monat,0.0006514961142910326,27727,0.0003511520673122401,0.000951840161269825
2003,66 und älter,inadequately,Seltener,0.0006514961142910326,27727,0.0003511520673122401,0.000951840161269825
2003,66 und älter,higher education,Taeglich,0.0006049606775559589,27727,0.000315535173667831,0.0008943861814440868
2003,66 und älter,inadequately,Min 1x pro Woche,0.0006049606775559589,27727,0.000315535173667831,0.0008943861814440868
2003,18-29 J.,in school,Seltener,0.0006049606775559589,27727,0.000315535173667831,0.0008943861814440868
2003,30-45 J.,vocational + Abi,Taeglich,0.0005118898040858114,27727,0.0002456446659873661,0.0007781349421842566
2003,18-29 J.,general elemantary,Nie,0.0005118898040858114,27727,0.0002456446659873661,0.0007781349421842566
2003,18-29 J.,middle vocational,Nie,0.0004653543673507376,27727,0.00021149367902754344,0.0007192150556739317
2003,66 und älter,vocational + Abi,Nie,0.00041881893061566385,27727,0.00017797992938459019,0.0006596579318467375
2003,30-45 J.,higher education,Nie,0.00041881893061566385,27727,0.00017797992938459019,0.0006596579318467375
2003,18-29 J.,inadequately,Min 1x pro Monat,0.00041881893061566385,27727,0.00017797992938459019,0.0006596579318467375
2003,46-65 J.,inadequately,Nie,0.00041881893061566385,27727,0.00017797992938459019,0.0006596579318467375
2003,46-65 J.,vocational + Abi,Nie,0.00037228349388059007,27727,0.00014521302051334303,0.0005993539672478371
